# timestamp x y z qw qx qy qz
0 2 0 0 6.12323e-17 0 0 1
0.1 1.99605 0.125581 0 -0.0314108 0 0 0.999507
0.2 1.98423 0.250666 0 -0.0627905 0 0 0.998027
0.3 1.96457 0.374763 0 -0.0941083 0 0 0.995562
0.4 1.93717 0.49738 0 -0.125333 0 0 0.992115
0.5 1.90211 0.618034 0 -0.156434 0 0 0.987688
0.6 1.85955 0.736249 0 -0.187381 0 0 0.982287
0.7 1.80965 0.851559 0 -0.218143 0 0 0.975917
0.8 1.75261 0.963507 0 -0.24869 0 0 0.968583
0.9 1.68866 1.07165 0 -0.278991 0 0 0.960294
1 1.61803 1.17557 0 -0.309017 0 0 0.951057
1.1 1.54103 1.27485 0 -0.338738 0 0 0.940881
1.2 1.45794 1.36909 0 -0.368125 0 0 0.929776
1.3 1.36909 1.45794 0 -0.397148 0 0 0.917755
1.4 1.27485 1.54103 0 -0.425779 0 0 0.904827
1.5 1.17557 1.61803 0 -0.45399 0 0 0.891007
1.6 1.07165 1.68866 0 -0.481754 0 0 0.876307
1.7 0.963507 1.75261 0 -0.509041 0 0 0.860742
1.8 0.851559 1.80965 0 -0.535827 0 0 0.844328
1.9 0.736249 1.85955 0 -0.562083 0 0 0.827081
2 0.618034 1.90211 0 -0.587785 0 0 0.809017
2.1 0.49738 1.93717 0 -0.612907 0 0 0.790155
2.2 0.374763 1.96457 0 -0.637424 0 0 0.770513
2.3 0.250666 1.98423 0 -0.661312 0 0 0.750111
2.4 0.125581 1.99605 0 -0.684547 0 0 0.728969
2.5 1.22465e-16 2 0 -0.707107 0 0 0.707107
2.6 -0.125581 1.99605 0 -0.728969 0 0 0.684547
2.7 -0.250666 1.98423 0 -0.750111 0 0 0.661312
2.8 -0.374763 1.96457 0 -0.770513 0 0 0.637424
2.9 -0.49738 1.93717 0 -0.790155 0 0 0.612907
3 -0.618034 1.90211 0 -0.809017 0 0 0.587785
3.1 -0.736249 1.85955 0 -0.827081 0 0 0.562083
3.2 -0.851559 1.80965 0 -0.844328 0 0 0.535827
3.3 -0.963507 1.75261 0 -0.860742 0 0 0.509041
3.4 -1.07165 1.68866 0 -0.876307 0 0 0.481754
3.5 -1.17557 1.61803 0 -0.891007 0 0 0.45399
3.6 -1.27485 1.54103 0 -0.904827 0 0 0.425779
3.7 -1.36909 1.45794 0 -0.917755 0 0 0.397148
3.8 -1.45794 1.36909 0 -0.929776 0 0 0.368125
3.9 -1.54103 1.27485 0 -0.940881 0 0 0.338738
4 -1.61803 1.17557 0 -0.951057 0 0 0.309017
4.1 -1.68866 1.07165 0 -0.960294 0 0 0.278991
4.2 -1.75261 0.963507 0 -0.968583 0 0 0.24869
4.3 -1.80965 0.851559 0 -0.975917 0 0 0.218143
4.4 -1.85955 0.736249 0 -0.982287 0 0 0.187381
4.5 -1.90211 0.618034 0 -0.987688 0 0 0.156434
4.6 -1.93717 0.49738 0 -0.992115 0 0 0.125333
4.7 -1.96457 0.374763 0 -0.995562 0 0 0.0941083
4.8 -1.98423 0.250666 0 -0.998027 0 0 0.0627905
4.9 -1.99605 0.125581 0 -0.999507 0 0 0.0314108
5 -2 2.44929e-16 0 -1 0 0 1.22465e-16
5.1 -1.99605 -0.125581 0 -0.999507 0 0 -0.0314108
5.2 -1.98423 -0.250666 0 -0.998027 0 0 -0.0627905
5.3 -1.96457 -0.374763 0 -0.995562 0 0 -0.0941083
5.4 -1.93717 -0.49738 0 -0.992115 0 0 -0.125333
5.5 -1.90211 -0.618034 0 -0.987688 0 0 -0.156434
5.6 -1.85955 -0.736249 0 -0.982287 0 0 -0.187381
5.7 -1.80965 -0.851559 0 -0.975917 0 0 -0.218143
5.8 -1.75261 -0.963507 0 -0.968583 0 0 -0.24869
5.9 -1.68866 -1.07165 0 -0.960294 0 0 -0.278991
6 -1.61803 -1.17557 0 -0.951057 0 0 -0.309017
6.1 -1.54103 -1.27485 0 -0.940881 0 0 -0.338738
6.2 -1.45794 -1.36909 0 -0.929776 0 0 -0.368125
6.3 -1.36909 -1.45794 0 -0.917755 0 0 -0.397148
6.4 -1.27485 -1.54103 0 -0.904827 0 0 -0.425779
6.5 -1.17557 -1.61803 0 -0.891007 0 0 -0.45399
6.6 -1.07165 -1.68866 0 -0.876307 0 0 -0.481754
6.7 -0.963507 -1.75261 0 -0.860742 0 0 -0.509041
