# timestamp x y z qw qx qy qz
0 1.76596 3.78723 0.0319149 0.515711 -0.206284 0.103142 -0.825137
0.1 1.66291 3.83982 0.0809334 0.541374 -0.202943 0.109571 -0.808531
0.2 1.55725 3.88514 0.131606 0.566504 -0.199401 0.115891 -0.791127
0.3 1.44939 3.92302 0.183732 0.591074 -0.195662 0.122097 -0.772942
0.4 1.33976 3.95332 0.237107 0.615061 -0.191731 0.128183 -0.753995
0.5 1.22878 3.9759 0.291518 0.638441 -0.18761 0.134142 -0.734303
0.6 1.1169 3.99069 0.346753 0.661191 -0.183303 0.139969 -0.713887
0.7 1.00456 3.99762 0.402593 0.683289 -0.178816 0.145658 -0.692766
0.8 0.892208 3.99667 0.458817 0.704712 -0.174153 0.151203 -0.670962
0.9 0.780276 3.98784 0.515203 0.72544 -0.169318 0.156598 -0.648495
1 0.669211 3.97116 0.57153 0.745451 -0.164315 0.161839 -0.625389
1.1 0.559452 3.9467 0.627574 0.764727 -0.159151 0.166921 -0.601665
1.2 0.451432 3.91456 0.683115 0.783249 -0.153829 0.171837 -0.577347
1.3 0.345576 3.87486 0.737933 0.800997 -0.148356 0.176585 -0.55246
1.4 0.242303 3.82777 0.791812 0.817955 -0.142736 0.181157 -0.527027
1.5 0.142021 3.77346 0.844539 0.834106 -0.136975 0.185551 -0.501075
1.6 0.0451243 3.71215 0.895907 0.849433 -0.131079 0.189762 -0.474628
1.7 -0.0480037 3.64409 0.945712 0.863923 -0.125054 0.193786 -0.447712
1.8 -0.136996 3.56954 0.993758 0.877559 -0.118905 0.197618 -0.420355
1.9 -0.221501 3.48879 1.03986 0.89033 -0.112639 0.201256 -0.392582
2 -0.301185 3.40217 1.08382 0.902222 -0.106262 0.204695 -0.364423
2.1 -0.375734 3.31001 1.12549 0.913224 -0.09978 0.207931 -0.335903
2.2 -0.444853 3.21268 1.16468 0.923324 -0.0931995 0.210963 -0.307053
2.3 -0.508271 3.11057 1.20125 0.932513 -0.086527 0.213786 -0.277899
2.4 -0.565736 3.00408 1.23505 0.940782 -0.0797691 0.216399 -0.248471
2.5 -0.617021 2.89362 1.26596 0.948122 -0.0729325 0.218797 -0.218797
2.6 -0.661925 2.77963 1.29384 0.954527 -0.0660239 0.22098 -0.188908
2.7 -0.700271 2.66257 1.31858 0.95999 -0.0590502 0.222945 -0.158833
2.8 -0.731905 2.54289 1.3401 0.964505 -0.0520182 0.22469 -0.1286
2.9 -0.756705 2.42108 1.3583 0.968069 -0.0449348 0.226213 -0.098241
3 -0.774572 2.29759 1.37312 0.970677 -0.0378071 0.227513 -0.0677847
3.1 -0.785436 2.17294 1.38448 0.972327 -0.0306421 0.228588 -0.0372616
3.2 -0.789253 2.0476 1.39236 0.973018 -0.0234469 0.229438 -0.00670163
3.3 -0.786009 1.92208 1.39672 0.972748 -0.0162285 0.230061 0.0238649
3.4 -0.775717 1.79686 1.39753 0.971519 -0.00899406 0.230457 0.0544079
3.5 -0.758416 1.67244 1.39481 0.96933 -0.00175078 0.230626 0.0848972
3.6 -0.734176 1.54932 1.38855 0.966185 0.00549422 0.230567 0.115303
3.7 -0.703092 1.42797 1.37879 0.962087 0.0127338 0.230281 0.145594
3.8 -0.665286 1.30889 1.36555 0.957039 0.0199608 0.229767 0.175742
3.9 -0.620909 1.19253 1.34891 0.951046 0.0271681 0.229027 0.205717
4 -0.570134 1.07935 1.32891 0.944115 0.0343487 0.228061 0.235489
4.1 -0.513163 0.969812 1.30564 0.936253 0.0414953 0.226869 0.265028
4.2 -0.45022 0.864338 1.27919 0.927466 0.0486009 0.225454 0.294305
4.3 -0.381553 0.763346 1.24966 0.917764 0.0556586 0.223816 0.323293
4.4 -0.307434 0.667234 1.21718 0.907156 0.0626614 0.221957 0.351961
4.5 -0.228156 0.576382 1.18187 0.895653 0.0696023 0.21988 0.380282
4.6 -0.14403 0.491149 1.14387 0.883266 0.0764745 0.217585 0.408227
4.7 -0.0553898 0.41187 1.10332 0.870008 0.0832713 0.215075 0.43577
4.8 0.0374159 0.338859 1.06039 0.855891 0.0899859 0.212354 0.462882
4.9 0.13402 0.272403 1.01526 0.840929 0.0966117 0.209422 0.489538
5 0.234043 0.212766 0.968085 0.825137 0.103142 0.206284 0.515711
5.1 0.337088 0.160182 0.919067 0.808531 0.109571 0.202943 0.541374
5.2 0.442749 0.114859 0.868394 0.791127 0.115891 0.199401 0.566504
5.3 0.550609 0.0769757 0.816268 0.772942 0.122097 0.195662 0.591074
5.4 0.660243 0.0466817 0.762893 0.753995 0.128183 0.191731 0.615061
5.5 0.771218 0.0240966 0.708482 0.734303 0.134142 0.18761 0.638441
5.6 0.883096 0.00930945 0.653247 0.713887 0.139969 0.183303 0.661191
5.7 0.995435 0.00237867 0.597407 0.692766 0.145658 0.178816 0.683289
5.8 1.10779 0.00333159 0.541183 0.670962 0.151203 0.174153 0.704712
5.9 1.21972 0.0121644 0.484797 0.648495 0.156598 0.169318 0.72544
6 1.33079 0.0288424 0.42847 0.625389 0.161839 0.164315 0.745451
6.1 1.44055 0.0532996 0.372426 0.601665 0.166921 0.159151 0.764727
6.2 1.54857 0.0854395 0.316885 0.577347 0.171837 0.153829 0.783249
6.3 1.65442 0.125135 0.262067 0.55246 0.176585 0.148356 0.800997
6.4 1.7577 0.17223 0.208188 0.527027 0.181157 0.142736 0.817955
6.5 1.85798 0.226539 0.155461 0.501075 0.185551 0.136975 0.834106
6.6 1.95488 0.287846 0.104093 0.474628 0.189762 0.131079 0.849433
6.7 2.048 0.355911 0.0542881 0.447712 0.193786 0.125054 0.863923
6.8 2.137 0.430464 0.00624193 0.420355 0.197618 0.118905 0.877559
6.9 2.2215 0.511211 -0.0398556 0.392582 0.201256 0.112639 0.89033
7 2.30118 0.597834 -0.0838226 0.364423 0.204695 0.106262 0.902222
7.1 2.37573 0.689991 -0.125485 0.335903 0.207931 0.09978 0.913224
7.2 2.44485 0.787317 -0.16468 0.307053 0.210963 0.0931995 0.923324
7.3 2.50827 0.88943 -0.201251 0.277899 0.213786 0.086527 0.932513
7.4 2.56574 0.995925 -0.235055 0.248471 0.216399 0.0797691 0.940782
7.5 2.61702 1.10638 -0.265957 0.218797 0.218797 0.0729325 0.948122
7.6 2.66193 1.22037 -0.293837 0.188908 0.22098 0.0660239 0.954527
7.7 2.70027 1.33743 -0.318584 0.158833 0.222945 0.0590502 0.95999
7.8 2.73191 1.45711 -0.340101 0.1286 0.22469 0.0520182 0.964505
7.9 2.75671 1.57892 -0.358302 0.098241 0.226213 0.0449348 0.968069
8 2.77457 1.70241 -0.373115 0.0677847 0.227513 0.0378071 0.970677
8.1 2.78544 1.82706 -0.384483 0.0372616 0.228588 0.0306421 0.972327
8.2 2.78925 1.9524 -0.39236 0.00670163 0.229438 0.0234469 0.973018
8.3 2.78601 2.07792 -0.396715 -0.0238649 0.230061 0.0162285 0.972748
8.4 2.77572 2.20314 -0.397532 -0.0544079 0.230457 0.00899406 0.971519
8.5 2.75842 2.32756 -0.394806 -0.0848972 0.230626 0.00175078 0.96933
8.6 2.73418 2.45068 -0.388549 -0.115303 0.230567 -0.00549422 0.966185
8.7 2.70309 2.57203 -0.378785 -0.145594 0.230281 -0.0127338 0.962087
8.8 2.66529 2.69111 -0.365553 -0.175742 0.229767 -0.0199608 0.957039
8.9 2.62091 2.80747 -0.348905 -0.205717 0.229027 -0.0271681 0.951046
9 2.57013 2.92065 -0.328907 -0.235489 0.228061 -0.0343487 0.944115
9.1 2.51316 3.03019 -0.305638 -0.265028 0.226869 -0.0414953 0.936253
9.2 2.45022 3.13566 -0.279189 -0.294305 0.225454 -0.0486009 0.927466
9.3 2.38155 3.23665 -0.249665 -0.323293 0.223816 -0.0556586 0.917764
9.4 2.30743 3.33277 -0.217182 -0.351961 0.221957 -0.0626614 0.907156
9.5 2.22816 3.42362 -0.181869 -0.380282 0.21988 -0.0696023 0.895653
9.6 2.14403 3.50885 -0.143865 -0.408227 0.217585 -0.0764745 0.883266
9.7 2.05539 3.58813 -0.10332 -0.43577 0.215075 -0.0832713 0.870008
9.8 1.96258 3.66114 -0.060394 -0.462882 0.212354 -0.0899859 0.855891
9.9 1.86598 3.7276 -0.0152563 -0.489538 0.209422 -0.0966117 0.840929
